,ECFP6_2048,rdk,pIC50
5819,4.002373162291466,3.9532411705915287,4.0
3904,4.858157139749417,5.069741705934773,5.573488738635425
2516,5.6900792470401536,5.936527845124929,5.241088107602026
4517,5.107675460850041,4.75828224616126,4.698970004336019
1595,6.433250052810895,6.056038042728933,6.698970004336019
2263,7.517073660820107,7.965912540464479,9.092051478387727
4982,6.480645766980496,6.087260599780032,6.443697499232712
6048,6.059606825119313,6.1518667776103655,6.356547323513812
4697,6.018617968217128,6.172031421086108,6.075720713938118
1630,5.940634738165553,6.015952761220201,6.275724130399211
4354,6.149082365270481,5.787160418649089,5.0
472,3.666703458367774,4.07027230231575,4.204119982655925
4567,5.282738055140664,5.442274897529805,5.292429823902063
763,4.410578792741275,4.36827542870379,4.327902142064283
3055,3.338820675873582,3.73356576477061,3.0315170514460648
2575,5.531073601118547,5.627065476887207,5.710001024518514
5866,8.062599557465337,7.9264214148476775,8.595166283380062
565,3.5634654614763863,3.448295430231664,3.3569999954922864
2456,7.188743045313164,7.652466849456865,6.856985199745905
4760,5.880147846744479,6.020832326065184,7.512861624522813
2927,3.8346643390354282,4.624046617677844,4.468521082957745
93,5.989052543419029,5.949595643901846,6.431798275933005
5811,4.2149409667185145,4.494888214954884,4.884056823060945
5349,4.251798389515565,5.438342160305609,3.995678626217357
2515,5.486932558128371,6.171012689465298,5.396855627379818
5277,6.0658948282467,6.3094901818319435,6.769551078621726
1921,7.447835401570352,7.359763060196819,6.939302159646388
3213,8.315492538489755,8.313760179236967,8.034328028779893
4526,6.472125079956186,6.388828105424184,7.42021640338319
3475,5.109598882198207,4.584179048127349,4.543633966870957
5160,5.179671670676966,4.9827676697223255,4.804100347590766
4774,12.3974087471395,12.34265522055025,14.30102999566398
1022,7.353630163516176,7.759354656103217,8.157390760389438
5532,4.15527224666647,4.209958119889645,4.0
5796,8.191984758911271,8.048791850085365,9.387216143280265
2135,6.162148587938864,6.034669520923277,6.522878745280337
5770,6.759717965477839,7.826805304180044,7.088309841246139
1374,5.7060059601436555,5.993157071130213,3.5734887386354246
5333,5.074331929313279,4.832057078735158,4.672028376376989
5028,4.897329121429046,5.228900196108467,4.846490010699163
3268,6.831775911442303,5.207482290266344,7.619788758288394
4291,3.749926135957617,4.813858753674436,4.0
5150,5.328920314699858,4.907254421641057,4.565431095965801
