,ECFP6_2048,pairfps,pIC50
45,6.647287746619702,6.901442686426629,5.585026652029182
3039,9.139642710528015,8.687472762984877,9.744727494896694
2486,6.800743444317879,6.9922868629272035,7.0
309,5.18809157827337,5.522184145795266,6.698970004336019
1270,8.903968768694055,8.933025222912342,8.860120913598763
2954,8.037803605721182,8.49366547035524,7.643591672961019
1457,8.355234892730577,8.630339959246694,7.950007143079858
152,4.894039209470385,5.0154682669133495,5.376750709602099
2164,7.69703091097646,7.510417498938902,7.494850021680094
1298,8.437108659937794,8.697950804832814,9.059981844992336
2203,5.434899078948784,5.445764704043629,6.20690839982342
1459,8.507415633239074,8.216316794184491,8.739928612014925
0,6.133766034543899,5.869796130322665,5.8696662315049934
2872,7.124991477289828,6.805179165039781,5.301029995663981
840,7.18288719577161,6.90953117300293,7.599980364934842
1345,8.024986537980022,8.356429905672972,8.119987161633228
2861,5.932522063317923,6.182289447650308,5.301029995663981
218,5.111500544722624,5.284652320181409,4.886056647693163
969,5.45119289353372,5.446610449298643,5.273272790973428
