,ECFP6_2048,mol2vec,pIC50
1163,4.996440221592676,5.022669026495728,5.0
296,5.802164866939898,5.563141152749503,8.0
3265,6.994040716772192,6.729878992832,8.070581074285707
5944,5.282101092755956,5.0755449666539265,4.686554629573585
604,4.795404021190072,3.3151847514739208,3.639999991045884
177,5.8419281755321775,6.500403297423406,6.481486060122113
5503,4.496534188463808,4.522224609338059,4.0
491,6.3157940263964,6.617820061323454,5.0
5775,5.232970985524908,6.239256786841085,5.884056823060945
4994,5.651373860480856,6.012754233246821,5.552841968657781
5822,4.891469460723563,4.394450316364538,4.0
4961,5.995941997071714,5.943168959795103,6.0
3038,5.361270747479523,5.27695376686419,4.0
1272,7.157352872759554,7.873071474793048,7.866461091629782
5917,5.061910029396584,7.277590504527878,6.756961951313706
2458,5.744198235832765,5.717828121069475,4.987162775294828
351,7.027860017023895,7.168153979134995,7.698970004336019
2034,5.90553608358147,5.427171147914637,4.337242168318426
469,5.473153834021691,5.081566640549219,4.0
2154,6.227636218175524,5.124317209719826,5.3979400086720375
1032,8.730343537478007,8.719279264762639,9.468521082957745
1961,7.681088557606986,8.105288216187324,7.481486060122112
672,3.3579661771857134,3.8306659130717753,3.0
2157,7.1259513973742505,6.644090239015965,7.096910013008056
3995,4.481979350610744,5.143134434929422,5.417936637088292
4274,5.3713306614151435,4.941762694112978,4.448428026325747
3135,5.495346889419891,4.959038537439561,5.086186147616283
577,4.903862936312611,4.954184950777652,5.309803919971486
4649,3.7682106404927427,3.4872428186498365,3.902395671125589
2899,4.912380823823892,5.850903215827701,4.886056647693163
506,4.520507312265832,4.635480607192175,5.082494490447453
1448,7.476187801776748,7.028097485154958,7.853871964321762
5686,4.784478698199509,5.069798748342925,6.317854923626168
3705,6.003845945975575,6.091276201034902,6.386158178123931
2559,6.6106076440872625,6.502968316202792,7.100015437450609
2232,4.86697285537867,5.3636650310525145,5.4723700991286615
812,3.9237058299474143,3.699187368010985,3.3575354797578787
2095,4.735330647293216,4.642292165375461,4.640164517660112
4899,5.178347266586525,5.1326129110674135,5.0
6060,6.48225832659612,6.094275742515818,6.011441043121384
5020,5.277064443769708,5.352672101200297,4.789146634685107
4832,6.3369535685879175,6.439458267754481,6.860435733824151
2029,5.797090560221149,6.251070866178873,6.568636235841013
1873,7.918480781169249,6.703765732137119,7.327902142064283
3334,5.348611772802278,4.998953177052775,4.429457060118103
5792,7.532826745631269,8.233977218726563,8.739928612014925
1729,6.189881504442906,6.221702992169161,5.96818772866963
4456,6.646764971291722,6.773185886416855,8.388276691992658
3499,5.103323781561811,5.581918485573117,5.6020599913279625
4851,7.845981784004348,7.869869190414836,8.022276394711152
1297,5.351560558528683,6.245601550632767,6.0762380391713
3822,6.354354021824717,5.142993066420232,4.525783735923745
5428,6.231108260530548,5.966083985833703,6.318758762624412
4240,4.8589415674119545,5.032977098663783,4.969805214643249
4813,7.379737210004862,7.250526455004523,8.500038134403809
5342,4.815241284159138,5.127225010831994,5.935542010773082
1321,4.303063365324575,4.541364355462118,4.301029995663981
5414,3.8551784146354695,4.241621254635379,3.0830199526796176
3661,6.922970900077273,7.446468414271176,7.701146923590294
2671,5.360695725809255,5.138369870669286,5.749579997691106
1360,5.133180109383741,5.267024172720725,5.0
1103,5.703791533246583,5.82634895174985,5.522878745280337
907,6.520594085673009,6.831413687586837,6.903089986991944
4428,6.756516839442879,7.094721537032237,6.453457336521869
308,4.642017500331735,5.261474374892066,4.0
5212,5.535196147168897,6.329868934104265,5.983384452442823
4486,5.502543729299475,6.003748200541033,4.129011186239425
50,3.436908183145192,3.5982942593149976,3.0
1665,5.904301007041858,5.09852484260363,6.455931955649724
2574,5.381030806657244,5.632036898814574,5.459999812689
